symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH600706,曲江文旅,14.03,+0.6,4.47%,5.17%,15083600,211470348.0,5.94%,,,3578488784.0
SH600841,动力新科,5.84,+0.25,4.47%,-3.79%,5704700,33175204.0,0.62%,,2.568%,8104879219.0
SH603878,武进不锈,7.96,+0.34,4.46%,7.06%,12334516,98581597.0,2.2%,14.099,3.405%,4466056601.0
SH600989,宝丰能源,14.1,+0.6,4.44%,18.15%,21961317,306462370.0,0.3%,22.753,1.986%,103400376000.0
SH603596,伯特利,72.19,+3.07,4.44%,-9.09%,6836157,499387455.0,1.62%,39.446,0.457%,30523013912.0
SH605122,四方新材,14.71,+0.62,4.4%,0.2%,1672388,24428126.0,2.85%,,0.544%,2535327340.0
SH603757,大元泵业,23.94,+1.01,4.4%,28.13%,3928741,94572465.0,2.37%,12.148,3.759%,3991252525.0
SH605069,正和生态,10.47,+0.44,4.39%,12.58%,7788200,81066133.0,9.25%,,1.471%,2216475736.0
SH600782,新钢股份,4.07,+0.17,4.36%,2.21%,41494695,168368190.0,1.32%,,2.482%,12802804246.0
SH601777,力帆科技,3.59,+0.15,4.36%,-6.99%,22254110,79270821.0,0.99%,171.742,,16411767570.0
SH603881,数据港,19.66,+0.82,4.35%,17.12%,8871196,174108357.0,1.93%,63.631,0.158%,9053392174.0
SH600293,三峡新材,3.22,+0.13,4.21%,26.77%,20628191,66454567.0,1.78%,,,3735667048.0
SH600797,浙大网新,6.22,+0.25,4.19%,6.78%,18416523,114284643.0,1.79%,109.876,0.482%,6391218574.0
SH603357,设计总院,8.96,+0.36,4.19%,23.45%,14046841,126348367.0,2.58%,10.41,4.933%,5026339987.0
SH600633,浙数文化,12.25,+0.49,4.17%,50.45%,38923101,474451625.0,3.08%,18.875,0.653%,15505198907.0
SH605198,安德利,20.14,+0.8,4.14%,7.68%,3232000,63951480.0,1.19%,31.737,0.497%,7204078000.0
SH603496,恒为科技,36.76,+1.46,4.14%,239.57%,79538192,2940113570.0,24.84%,186.626,0.136%,11770891773.0
SH600218,全柴动力,8.32,+0.33,4.13%,-3.24%,6008533,49769147.0,1.46%,36.72,0.962%,3624191326.0
SH600222,太龙药业,5.83,+0.23,4.11%,-8.48%,33981305,195834584.0,5.92%,,0.172%,3345757030.0
SH600126,杭钢股份,4.08,+0.16,4.08%,-0.16%,16460898,66776077.0,0.49%,757.452,1.225%,13778931459.0
SH603949,雪龙集团,26.29,+1.03,4.08%,48.66%,5205540,134602825.0,2.48%,112.645,1.141%,5550783317.0
SH600691,阳煤化工,3.06,+0.12,4.08%,-2.55%,15099380,46213346.0,0.64%,,,7270504773.0
SH600809,山西汾酒,239.45,+9.37,4.07%,-14.58%,6892937,1657259484.0,0.57%,29.655,1.387%,292120432958.0
SH603909,建发合诚,12.31,+0.48,4.06%,50.12%,2393428,29213826.0,0.92%,53.332,0.374%,3208886353.0
SH600165,宁科生物,3.59,+0.14,4.06%,-46.89%,10233300,36479219.0,1.49%,,,2458732752.0
SH600602,云赛智联,12.88,+0.5,4.04%,48.29%,54266498,698546022.0,5.05%,96.439,0.311%,17615634100.0
SH600820,隧道股份,5.66,+0.22,4.04%,12.37%,28109794,158611512.0,0.89%,5.835,4.77%,17795583892.0
SH603603,*ST博天,2.83,+0.11,4.04%,-40.42%,6192929,17329628.0,0.76%,1.512,,2740843117.0
SH603477,巨星农牧,31.43,+1.22,4.04%,28.99%,8223665,254882397.0,1.62%,215.759,0.102%,15906807672.0
SH603701,德宏股份,12.89,+0.5,4.04%,-34.5%,5471579,70954750.0,2.09%,251.135,0.388%,3368954904.0
SH600343,航天动力,9.55,+0.37,4.03%,9.14%,5642085,53632378.0,0.88%,,,6094870623.0
SH600076,康欣新材,2.59,+0.1,4.02%,-11.3%,15127828,38797270.0,1.46%,,,3482367321.0
SH603778,乾景园林,5.2,+0.2,4.0%,-24.86%,16182700,83785774.0,2.52%,,,3342857138.0
SH603123,翠微股份,15.39,+0.59,3.99%,8.46%,90346683,1383720946.0,13.85%,,0.422%,12292557274.0
SH600326,西藏天路,5.47,+0.21,3.99%,57.67%,100390329,548528293.0,8.41%,,,6548933295.0
SH601518,吉林高速,2.61,+0.1,3.98%,25.57%,20874420,53952350.0,1.1%,10.954,,4934343771.0
SH600678,四川金顶,5.51,+0.21,3.96%,-6.13%,14746042,81431022.0,4.23%,475.77,,1922934900.0
SH605055,迎丰股份,7.12,+0.27,3.94%,17.88%,29869376,210893215.0,30.19%,,,3132800000.0
SH600179,安通控股,2.65,+0.1,3.92%,-19.45%,19625307,51280683.0,0.54%,10.525,,11213546494.0
SH600595,中孚实业,3.18,+0.12,3.92%,6.0%,96804722,312942125.0,2.44%,18.48,,12751434663.0
SH600151,航天机电,6.7,+0.25,3.88%,-17.79%,11082346,73935711.0,0.77%,,,9609490323.0
SH603612,索通发展,16.6,+0.62,3.88%,-34.69%,5212584,86189459.0,1.2%,,2.47%,8978046322.0
SH605056,咸亨国际,12.09,+0.45,3.87%,1.68%,1095533,13219562.0,0.7%,27.772,2.887%,4981200900.0
SH600363,联创光电,30.95,+1.15,3.86%,30.2%,5810278,178114726.0,1.29%,46.449,0.191%,14089236963.0
SH600881,亚泰集团,2.15,+0.08,3.86%,-10.42%,34676214,74201221.0,1.07%,,,6985164214.0
SH603173,福斯达,24.82,+0.92,3.85%,33.75%,2127567,52553158.0,5.32%,21.913,0.564%,3971200000.0
SH600054,黄山旅游,11.33,+0.42,3.85%,-11.07%,7104063,80007364.0,1.38%,34.551,0.9%,8263869055.0
SH603380,易德龙,22.94,+0.85,3.85%,-11.78%,3289500,73925781.0,2.05%,24.325,0.61%,3690676666.0
SH600297,广汇汽车,1.89,+0.07,3.85%,-10.0%,105152000,196760553.0,1.3%,,,15330394783.0
SH603028,赛福天,13.23,+0.49,3.85%,43.34%,6388680,83447401.0,2.23%,,0.461%,3797539200.0
SH601068,中铝国际,4.62,+0.17,3.82%,-1.91%,10085851,46496290.0,0.39%,,,13670888002.0
SH600696,岩石股份,20.96,+0.77,3.81%,-15.76%,1340692,27901756.0,0.4%,129.445,,7010479274.0
SH600298,安琪酵母,34.28,+1.25,3.78%,-23.2%,9042591,311042909.0,1.05%,22.294,1.459%,29780828124.0
SH603297,永新光学,81.54,+2.97,3.78%,-0.59%,543716,44137082.0,0.49%,35.078,1.171%,9056443950.0
SH603013,亚普股份,15.93,+0.58,3.78%,14.78%,9196647,144818042.0,1.8%,15.713,3.139%,8165706276.0
SH603926,铁流股份,11.25,+0.41,3.78%,25.63%,4110520,45649944.0,1.97%,27.593,0.978%,2582240974.0
SH600480,凌云股份,9.06,+0.33,3.78%,7.93%,11218554,101935136.0,1.22%,16.429,1.214%,8521889545.0
SH600583,海油工程,6.31,+0.23,3.78%,5.85%,33907214,215115275.0,0.77%,14.247,1.585%,27898748788.0
SH603010,万盛股份,10.79,+0.39,3.75%,-7.18%,3516976,37881173.0,0.72%,26.327,1.854%,6361553018.0
SH600720,祁连山,10.82,+0.39,3.74%,8.96%,10177334,110769692.0,1.31%,17.005,4.159%,8399460851.0
SH603617,君禾股份,7.8,+0.28,3.72%,-14.81%,7053436,54610549.0,1.8%,122.619,0.385%,3050356429.0
SH600231,凌钢股份,2.24,+0.08,3.7%,4.19%,13773150,30620700.0,0.48%,,4.33%,6388836931.0
SH600819,耀皮玻璃,4.76,+0.17,3.7%,3.13%,6678200,31649454.0,0.89%,,0.105%,4450200488.0
SH600727,鲁北化工,5.9,+0.21,3.69%,-10.33%,6460081,37956144.0,1.22%,,1.695%,3118640497.0
SH601238,广汽集团,10.16,+0.36,3.67%,-5.83%,35660164,359802147.0,0.49%,20.162,2.264%,106534719366.0
SH600805,悦达投资,4.24,+0.15,3.67%,-0.24%,5717384,24000804.0,0.67%,,,3607792655.0
SH603615,茶花股份,9.91,+0.35,3.66%,26.15%,10860721,106344675.0,4.49%,,1.009%,2396436200.0
SH600593,大连圣亚,16.2,+0.57,3.65%,-3.23%,2514900,40323468.0,1.95%,213.403,,2086560000.0
SH600883,博闻科技,7.99,+0.28,3.63%,12.09%,2876200,22824447.0,1.22%,20.661,1.314%,1886343120.0
SH603860,中公高科,26.29,+0.92,3.63%,13.65%,1125200,29440395.0,1.69%,39.135,0.437%,1753017200.0
SH600331,宏达股份,4.32,+0.15,3.6%,50.52%,45277599,194758925.0,2.23%,,,8778240000.0
SH601808,中海油服,16.11,+0.56,3.6%,-1.74%,8756632,141415175.0,0.3%,29.724,0.993%,76870347120.0
SH600507,方大特钢,4.63,+0.16,3.58%,-23.09%,16258014,75113892.0,0.72%,47.352,23.974%,10792808832.0
SH600778,友好集团,6.08,+0.21,3.58%,-11.63%,6126287,37105553.0,1.97%,,,1893867420.0
SH603128,华贸物流,7.25,+0.25,3.57%,-29.95%,24470322,176872354.0,1.86%,12.598,4.69%,9563016010.0
SH603677,奇精机械,13.92,+0.48,3.57%,25.9%,6219878,86132971.0,3.24%,38.262,1.078%,2674677804.0
SH600808,马钢股份,2.61,+0.09,3.57%,-6.39%,35465879,92268287.0,0.59%,,0.766%,20279144555.0
SH600099,林海股份,9.02,+0.31,3.56%,3.53%,2790100,25021592.0,1.27%,200.065,0.333%,1976462400.0
SH600168,武汉控股,6.4,+0.22,3.56%,5.26%,6930688,44187277.0,0.98%,17.966,2.641%,4541246029.0
SH601368,绿城水务,5.27,+0.18,3.54%,1.26%,18599480,97715558.0,2.11%,34.478,1.063%,4653268116.0
SH600984,建设机械,4.09,+0.14,3.54%,-25.09%,18425160,76611389.0,1.47%,,2.812%,5141309653.0
SH600528,中铁工业,8.22,+0.28,3.53%,9.45%,19487144,162437857.0,0.88%,9.405,1.776%,18261154053.0
SH600724,宁波富达,3.81,+0.13,3.53%,8.66%,9135753,34706976.0,0.63%,23.169,3.937%,5506368481.0
SH600818,中路股份,12.94,+0.44,3.52%,-52.46%,4522600,58023655.0,1.9%,,0.51%,4159535955.0
SH600587,新华医疗,22.96,+0.78,3.52%,7.65%,21782509,512314504.0,4.91%,16.202,0.653%,10715018467.0
SH600060,海信视像,22.71,+0.77,3.51%,72.66%,9386615,208095294.0,0.73%,13.497,2.836%,29696781962.0
SH605178,时空科技,20.39,+0.69,3.5%,11.73%,1311420,26561236.0,2.11%,,,2023740124.0
SH600081,东风科技,11.25,+0.38,3.5%,14.44%,13336342,149030719.0,3.0%,69.642,0.533%,6506364701.0
SH600455,博通股份,23.24,+0.78,3.47%,5.06%,1539400,35493527.0,2.46%,52.514,,1451523920.0
SH603113,金能科技,8.34,+0.28,3.47%,-6.7%,5378579,44880263.0,0.63%,509.736,1.451%,7071889956.0
SH601005,重庆钢铁,1.49,+0.05,3.47%,-5.7%,103535870,154935552.0,1.24%,,,13288717378.0
